순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,아웃스탠딩,O X A B-6 MOUTON JACKET,https://www.musinsa.com/app/goods/2292212?loc=goods_rank,OSTD057,남,400회 이상,,372
2위,폴로 랄프 로렌,[MUSINSA EXCLUSIVE] 뉴욕 복싱 클럽 새틴 바시티 리버시블 재킷 - 블랙,https://www.musinsa.com/app/goods/3061176?loc=goods_rank,MNPOOTW16021143-001,남 여,3.2만 회 이상,50개 이상,659
3위,낫포너드,Tribal Logo Nylon Racing Jacket - White,https://www.musinsa.com/app/goods/3209863?loc=goods_rank,JK044WH,남,700회 이상,,160
4위,지프,1941 스몰로고 후드집업 (JN6TZU300BK),https://www.musinsa.com/app/goods/3061233?loc=goods_rank,JN6TZU300BK,남,2.4만 회 이상,700개 이상,"1,901"
5위,아크테릭스 베일런스,[SS22] 블레이저 LT 남성,https://www.musinsa.com/app/goods/2889023?loc=goods_rank,637669,남,100회 이상,,3
6위,노스페이스,NJ3BP10J 화이트라벨 아이스런 자켓,https://www.musinsa.com/app/goods/3064864?loc=goods_rank,NJ3BP10J,남,3만 회 이상,200개 이상,"1,827"
7위,토마스모어,TD5-JP01 탱커블루종-블랙,https://www.musinsa.com/app/goods/2712632?loc=goods_rank,TD5-JP01_BLK,남,3.8만 회 이상,3.4천 개 이상,"8,797"
8위,무신사 스탠다드,우먼즈 오버사이즈 블레이저 [블랙],https://www.musinsa.com/app/goods/1618312?loc=goods_rank,MWJJK004-BK,여,5.3만 회 이상,9.1천 개 이상,"28,058"
9위,브랜디드,2001 SLOW WORKER DENIM WASH. JACKET [BLACK INDIGO],https://www.musinsa.com/app/goods/1195307?loc=goods_rank,LOT2001,남,6.5만 회 이상,7.1천 개 이상,"38,872"
10위,윈더,SLASHED UTILITY VEST - NAVY BLACK,https://www.musinsa.com/app/goods/3212836?loc=goods_rank,WD23S-CTR01,남,400회 이상,,34
