순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
361위,카네이테이,이클립스 (블랙),https://www.musinsa.com/app/goods/2584181?loc=goods_rank,1034825,남 여,1.8만 회 이상,1.9천 개 이상,"8,356"
362위,세러데이일레븐,투톤 캔버스 레더 브릿지 토트백 _ 블랙 화이트,https://www.musinsa.com/app/goods/2583247?loc=goods_rank,SE222PMBG36 BKWT,남,500회 이상,50개 이상,383
363위,하 아카이브,[AP 에디션]크레센트 코티드 호보백 (블랙),https://www.musinsa.com/app/goods/3007799?loc=goods_rank,S#apchbl,남 여,7.6천 회 이상,400개 이상,"1,652"
364위,커버낫,프레쉬 세리프 로고 캔버스백 아이보리,https://www.musinsa.com/app/goods/2384130?loc=goods_rank,CO2300EC02IV,남 여,2.1천 회 이상,200개 이상,"1,282"
365위,리,빈티지 로고 로코 포켓 에코백 아이보리,https://www.musinsa.com/app/goods/1891505?loc=goods_rank,LE2203BG02IV,남 여,8.2천 회 이상,2.2천 개 이상,"12,811"
366위,런던그로서리마켓,Cotton Market Bag (Denim),https://www.musinsa.com/app/goods/2633280?loc=goods_rank,000021,남,700회 이상,100개 이상,870
367위,디스커버리 익스페디션,디스커버러 슬링백 (D/IVORY),https://www.musinsa.com/app/goods/3026164?loc=goods_rank,DXSG0013N-IVD,남,500회 이상,,36
368위,트래블,트레일 러너 메쉬 스트링 테크 백팩,https://www.musinsa.com/app/goods/3012637?loc=goods_rank,TRTHSSBK01UC6,남,5.4천 회 이상,300개 이상,"2,289"
369위,버빌리안,왈라비 에코백_Ivory,https://www.musinsa.com/app/goods/2006800?loc=goods_rank,WALLABY_IVORY,남 여,1.5천 회 이상,300개 이상,"1,972"
370위,벵디,Summer Travel Bag_Beige,https://www.musinsa.com/app/goods/2631076?loc=goods_rank,V22MB16BG,여,200회 이상,,62
371위,슈펜,[버블 폼폼] 링클 호보백 (HPABGC270B RE) HPABGD206M,https://www.musinsa.com/app/goods/3040282?loc=goods_rank,5001551349,남,2.2천 회 이상,300개 이상,395
372위,스퀘어라인,Camel bag (Canvers Brown) - S009CVBR,https://www.musinsa.com/app/goods/2017965?loc=goods_rank,S009CVBR,여,2.6천 회 이상,500개 이상,"7,834"
373위,엠엘비,나일론 호보백 NY (Black),https://www.musinsa.com/app/goods/2310060?loc=goods_rank,3ABQS032N-50BKS,여,6.8천 회 이상,1.1천 개 이상,"8,390"
374위,본챔스,디피니션 백팩 블루 CERFMBG19BL,https://www.musinsa.com/app/goods/939600?loc=goods_rank,CERFMBG19BL,남,800회 이상,50개 이상,350
375위,그린스터프,무심한듯 박시한 쇼퍼백 53 플리츠 주름 에코백 - ivory,https://www.musinsa.com/app/goods/1876732?loc=goods_rank,G5308,여,2.1천 회 이상,100개 이상,"2,986"
376위,케이투,딜라이트 12L (DELIGHT 12)_Light Grey,https://www.musinsa.com/app/goods/2502437?loc=goods_rank,KUS22B14C2,남 여,,,53
377위,아이띵소,MINI NEAT BREEZE,https://www.musinsa.com/app/goods/2622054?loc=goods_rank,1624108,여,8.4천 회 이상,600개 이상,"5,099"
378위,제너,L 이즐리 나일론 크로스백 [블랙],https://www.musinsa.com/app/goods/2974208?loc=goods_rank,L_EASLY_BLACK,남,200회 이상,50개 미만,196
379위,캉골,Eco Friendly Bag 0013 IVORY,https://www.musinsa.com/app/goods/336150?loc=goods_rank,454046,남,2천 회 이상,1천 개 이상,"7,818"
380위,아디다스,짐색 트레포일- 블랙 / BK6726,https://www.musinsa.com/app/goods/1078489?loc=goods_rank,BK6726,남 여,6.1천 회 이상,1.4천 개 이상,"4,889"
