순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
181위,베이프릴,라이너 백팩 (아이보리),https://www.musinsa.com/app/goods/2370401?loc=goods_rank,liner02,남 여,9.7천 회 이상,1.4천 개 이상,"7,604"
182위,에스에스알엘,minimal bucket sling bag / black,https://www.musinsa.com/app/goods/2059529?loc=goods_rank,SB15ACR020101,남,2.3천 회 이상,500개 이상,"3,330"
183위,필인더블랭크,Yoko Bucket Bag (L)(denim),https://www.musinsa.com/app/goods/3029118?loc=goods_rank,P00000WB,여,3.5천 회 이상,50개 이상,"1,092"
184위,리,올데이 백팩 아이보리,https://www.musinsa.com/app/goods/3000664?loc=goods_rank,LE2301BG23IV,남,1.8천 회 이상,100개 이상,649
185위,베이프릴,라이너 백팩 (블랙),https://www.musinsa.com/app/goods/2370400?loc=goods_rank,liner01,남 여,5.6천 회 이상,1천 개 이상,"3,860"
186위,무신사 스탠다드,비건 레더 스퀘어 토트 백 [블랙],https://www.musinsa.com/app/goods/2149958?loc=goods_rank,MMABG006-BK,남 여,6.8천 회 이상,4천 개 이상,"7,393"
187위,아더템포,몰토_초코,https://www.musinsa.com/app/goods/2963150?loc=goods_rank,LE_CR,여,1.4천 회 이상,,397
188위,캉골,브리즈 미디움 토트백 3919 라이트베이지,https://www.musinsa.com/app/goods/3151028?loc=goods_rank,5002596523,여,,,52
189위,분크,Perfec Essence Card wallet (퍼펙 에센스 카드지갑) Green,https://www.musinsa.com/app/goods/3141403?loc=goods_rank,m1037_1016461,여,900회 이상,,65
190위,내셔널지오그래픽,N235ACR570 메쉬 메신져백 BLACK,https://www.musinsa.com/app/goods/2983887?loc=goods_rank,N235ACR570099,남,2.1천 회 이상,50개 이상,269
191위,질바이질스튜어트,[7COLOR][에그] 로고 크랙 가죽 반지갑,https://www.musinsa.com/app/goods/2725383?loc=goods_rank,JLWA3E100BK,여,3.9천 회 이상,100개 이상,"1,922"
192위,히어리,달리아 하프문 백_레드,https://www.musinsa.com/app/goods/3149674?loc=goods_rank,POPPY BLK,여,,,94
193위,무음,[타이벡] 퍼프업 베이비 Puff-Up Baby (Silver),https://www.musinsa.com/app/goods/2717525?loc=goods_rank,MW2BG03SI,여,1.5만 회 이상,1.2천 개 이상,"4,504"
194위,피치바스켓마켓,p.b laptop pouch (silver),https://www.musinsa.com/app/goods/2669697?loc=goods_rank,P00000SC,여,3.6천 회 이상,600개 이상,"1,843"
195위,잔스포츠,빅스튜던트 DESERT BEIGE,https://www.musinsa.com/app/goods/3020565?loc=goods_rank,JS0A47JK9RU,남,2.8천 회 이상,50개 이상,278
196위,질스튜어트 맨 액세서리,[MATEO] 마테오 메신저백,https://www.musinsa.com/app/goods/2021960?loc=goods_rank,JUBA3E962BK,남,1천 회 이상,100개 이상,505
197위,페넥,FABRIC SLING BAG - BLACK,https://www.musinsa.com/app/goods/1366523?loc=goods_rank,FJ1SB02BKF,여,1.3만 회 이상,1.1천 개 이상,"17,282"
198위,무르,데이백 캔버스(4color),https://www.musinsa.com/app/goods/2767257?loc=goods_rank,28dayc,여,1만 회 이상,500개 이상,"4,793"
199위,하이드아웃,[하이드아웃X토레스] 캠프 툴 백 (Khaki),https://www.musinsa.com/app/goods/3182543?loc=goods_rank,5002381187,남 여,,,10
200위,레더리,볼티드 스퀘어 숄더백 [IVORY SOAP],https://www.musinsa.com/app/goods/3130030?loc=goods_rank,LRBG3106IVSF,여,1.5만 회 이상,100개 이상,"1,573"
201위,아우로,ADVENTURE BACKPACK [ GRAY ],https://www.musinsa.com/app/goods/3062422?loc=goods_rank,ouro_037,여,8천 회 이상,100개 이상,"1,524"
