순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
271위,세이모 온도,포켓 머그백 pocket mug bag M nappa black,https://www.musinsa.com/app/goods/3122956?loc=goods_rank,SMO_B01457,여,4.5천 회 이상,50개 이상,680
272위,마르디 메크르디,GRAND VELO_BLACK [ALL LEATHER],https://www.musinsa.com/app/goods/2998775?loc=goods_rank,5001963512,여,1.2만 회 이상,1천 개 이상,"2,963"
273위,유센디,pebble 조약돌 아코디언 카드지갑 _ Crack Pink (이태리소가죽),https://www.musinsa.com/app/goods/2717551?loc=goods_rank,2-011PK,여,5.9천 회 이상,100개 이상,0
274위,플라스크,라이더 미니 크로스백 - Cow Leather,https://www.musinsa.com/app/goods/2187707?loc=goods_rank,BAG4,남,200회 이상,50개 미만,"1,029"
275위,와릿이즌,유틸리티 웨이스트 백,https://www.musinsa.com/app/goods/3050772?loc=goods_rank,MG2300CB02BK,남 여,5.5천 회 이상,200개 이상,"1,189"
276위,하이,여성 리틀 실크 토트백 - 라이트 그린 / LSBLIGHTGREEN,https://www.musinsa.com/app/goods/3140727?loc=goods_rank,LSBLIGHTGREENSS23,여,800회 이상,,107
277위,밈더워드로브,크랙 레더 메신저백_브라운,https://www.musinsa.com/app/goods/2668835?loc=goods_rank,EASYMSG,남,8.2천 회 이상,1.6천 개 이상,"7,567"
278위,델코퍼,SHOPPER CANVAS MINI [GREEN SPRING],https://www.musinsa.com/app/goods/2545298?loc=goods_rank,CANVAS- MINI-5,여,3.4천 회 이상,100개 이상,"1,488"
279위,와이케이,말티즈 아카이브 에코백 아이보리,https://www.musinsa.com/app/goods/2328311?loc=goods_rank,YK22SSAC02,여,1.6천 회 이상,200개 이상,"1,554"
280위,무르,데이백미니 캔버스(4color),https://www.musinsa.com/app/goods/2767259?loc=goods_rank,30daymc,여,3.8천 회 이상,200개 이상,"1,799"
281위,리,빈티지로고 로코 포켓 에코백 인디고 다크,https://www.musinsa.com/app/goods/2998586?loc=goods_rank,LE2301BG02ID,남 여,1.2만 회 이상,900개 이상,"6,243"
282위,와이엠씨엘케이와이,Canvas Duffle Bag - Olive,https://www.musinsa.com/app/goods/2032992?loc=goods_rank,YMCLKY,남,200회 이상,50개 미만,82
283위,레더리,볼티드 스퀘어 숄더백 [BURGUNDY],https://www.musinsa.com/app/goods/3130022?loc=goods_rank,LRBG3106BUF,여,1.1만 회 이상,50개 이상,"1,040"
284위,르마스크,도우 소프트 여성가죽카드지갑 블랙,https://www.musinsa.com/app/goods/2126640?loc=goods_rank,L0830170401,여,8천 회 이상,900개 이상,"7,686"
285위,무음,[체크패턴] 퍼프업 베이비 Puff-Up Baby (Candy Pink),https://www.musinsa.com/app/goods/2865977?loc=goods_rank,MW2BG03PK,여,1.4천 회 이상,50개 미만,575
286위,스퀘어라인,Building bag - S002 (4color),https://www.musinsa.com/app/goods/2819628?loc=goods_rank,S002,여,1천 회 이상,50개 이상,629
287위,돈키,Ella bag - D1074 (11color),https://www.musinsa.com/app/goods/3045908?loc=goods_rank,D1074,여,1.1만 회 이상,400개 이상,"3,459"
288위,레더리,멀티 포쉐트 플랩 크로스백 [BLACK],https://www.musinsa.com/app/goods/2325755?loc=goods_rank,LRBG1406BK,남 여,7.5천 회 이상,1.2천 개 이상,"5,184"
289위,필인더블랭크,Trapezoid  Canvas Bag (IV-BK),https://www.musinsa.com/app/goods/1964105?loc=goods_rank,S1D1M01,여,1만 회 이상,700개 이상,"8,249"
290위,예일,[900D PET RECYCLED] LEARNING CLUB PACK NAVY (+ TRAVEL POUCH) 30L,https://www.musinsa.com/app/goods/3030213?loc=goods_rank,YD01BG0002NA,라이프,2.2천 회 이상,50개 미만,219
291위,1754 클래식,골프 미니 토트백 네이비,https://www.musinsa.com/app/goods/2334739?loc=goods_rank,BNGC01014,여,,,29
292위,닥스 여성 액세서리,[MODERN BOLD DD] 블랙 DD로고 소가죽 반지갑 DCWA3E650BK,https://www.musinsa.com/app/goods/3110124?loc=goods_rank,DCWA3E650BK,여,400회 이상,,77
293위,슈펜,[NAVY] 2포켓 빅 반달 메신저백 HPABCD206M,https://www.musinsa.com/app/goods/3113864?loc=goods_rank,5001812468,남,,,37
294위,엠엠엘지,[Mmlg] MMLG WASH BAG (IVORY),https://www.musinsa.com/app/goods/3039538?loc=goods_rank,MMLGBC1A012,남 여,2.2천 회 이상,50개 미만,728
295위,캘빈클라인 진,아이보리 CKJ 티몰 캡슐 체인 크로스백 DH2806 111,https://www.musinsa.com/app/goods/2657248?loc=goods_rank,DH2806 111,여,4천 회 이상,50개 이상,"1,129"
296위,칼린,페이브 퀼팅 카드 지갑 5colors_W73103010,https://www.musinsa.com/app/goods/3109842?loc=goods_rank,W73103010,여,400회 이상,,75
297위,마뗑킴,ACCORDION WALLET IN LIGHT YELLOW,https://www.musinsa.com/app/goods/2527611?loc=goods_rank,MK2212WL001M0LY,남 여,1.1만 회 이상,900개 이상,"4,552"
298위,스퀘어라인,Falle2 shoulder bag - S1014 (3color),https://www.musinsa.com/app/goods/3191890?loc=goods_rank,S1014,여,1.4천 회 이상,50개 미만,220
299위,잔스포츠,유니온팩 SOFT TAN,https://www.musinsa.com/app/goods/3020567?loc=goods_rank,JS0A4NVC00Y,남,3.5천 회 이상,50개 이상,677
300위,엄브로,미니 메신저백 블랙(UO223CBG51),https://www.musinsa.com/app/goods/3193134?loc=goods_rank,UO223CBG51_BLK0,남,,,36
301위,마뗑킴,BIG BUCKLE BAG IN LIGHT GREY,https://www.musinsa.com/app/goods/2890573?loc=goods_rank,MK229NBG033M0LG,남 여,1.6만 회 이상,200개 이상,"2,533"
302위,돈키,long body bag - D1066 (8color),https://www.musinsa.com/app/goods/2865904?loc=goods_rank,D1066,여,2.3천 회 이상,200개 이상,"2,039"
303위,다이나핏,네오 크로스백_Black,https://www.musinsa.com/app/goods/3012207?loc=goods_rank,YUA23B16Z1,남,,,13
304위,내셔널지오그래픽,N235ACR860 데일리 슬링백 BLACK,https://www.musinsa.com/app/goods/3019790?loc=goods_rank,N235ACR860099,남,1.9천 회 이상,50개 미만,108
305위,에이지 그레이,더블버클메신져백,https://www.musinsa.com/app/goods/1246546?loc=goods_rank,A047DBM,남,400회 이상,50개 미만,312
306위,스탠드오일,Lady Pouch · 레이디파우치,https://www.musinsa.com/app/goods/2558685?loc=goods_rank,22G-040A,여,2.9천 회 이상,500개 이상,"1,954"
307위,잔스포츠,호프만 BLACK,https://www.musinsa.com/app/goods/3020553?loc=goods_rank,JS0A85MH008,남,7.6천 회 이상,300개 이상,"1,339"
308위,루킹포유,저스트백 포켓 크로스 메신저백 BLACK,https://www.musinsa.com/app/goods/3205036?loc=goods_rank,968423,남,,,6
309위,페넥,CRINKLE SOFT CARD CASE - BLACK,https://www.musinsa.com/app/goods/2975286?loc=goods_rank,FM1PK02BKF,여,1.1만 회 이상,700개 이상,"3,927"
310위,라퍼지스토어,윈드셀 패디드 크로스백_Black,https://www.musinsa.com/app/goods/3114364?loc=goods_rank,m1037_685405,남 여,3.7천 회 이상,50개 미만,330
311위,마뗑킴,BUCKLE BAG IN BEIGE,https://www.musinsa.com/app/goods/1835040?loc=goods_rank,M21SSBG01BE,남 여,5.9천 회 이상,200개 이상,"4,944"
312위,돈키,Papaya bag(cream) - D1053CR,https://www.musinsa.com/app/goods/2133725?loc=goods_rank,D1053CR,여,4.3천 회 이상,600개 이상,"6,735"
313위,마뗑킴,FABRIC NEW SHOPPER BAG IN BLACK,https://www.musinsa.com/app/goods/2769989?loc=goods_rank,MK2277BG025M0BB,남 여,9.4천 회 이상,200개 이상,"3,681"
314위,필인더블랭크,Trapezoid PK Shoulder Bag (olive),https://www.musinsa.com/app/goods/2744325?loc=goods_rank,P00000UI,여,2.6천 회 이상,100개 이상,"2,098"
315위,앨리스마샤,에린 미니 8Colors 미니 크로스백,https://www.musinsa.com/app/goods/2333662?loc=goods_rank,320140,여,800회 이상,50개 이상,781
316위,필인더블랭크,Onigiri Coin Bag (silver),https://www.musinsa.com/app/goods/3029147?loc=goods_rank,P00000WI,여,9.1천 회 이상,100개 이상,"1,992"
317위,페넥,Mini Pocket 018 Khaki,https://www.musinsa.com/app/goods/675641?loc=goods_rank,FH1PK09KHF,여,900회 이상,100개 이상,878
318위,스퀘어라인,Jennie bag(Ivory) - S014IV,https://www.musinsa.com/app/goods/2117773?loc=goods_rank,S014IV,여,4.7천 회 이상,900개 이상,"8,228"
319위,제드레페브5,크로플 크로스바디백 블랙,https://www.musinsa.com/app/goods/2781306?loc=goods_rank,j22acr002bk,여,5.8천 회 이상,300개 이상,"1,538"
320위,랑가주망,스토리 로고 데님 쇼퍼 백 [블랙],https://www.musinsa.com/app/goods/2500268?loc=goods_rank,22SSBG001IV,남,1.1천 회 이상,50개 이상,222
321위,디스이즈네버댓,Leicht Daypack Black,https://www.musinsa.com/app/goods/2719581?loc=goods_rank,TN223WBABP01BK,남 여,2.4천 회 이상,200개 이상,"1,107"
322위,하이드아웃,[하이드아웃X토레스] 캠프 토트 백 (Charcoal),https://www.musinsa.com/app/goods/3182541?loc=goods_rank,5002381186,남 여,,,15
323위,애프터눈라이브,Afternoonlive Classic Backpack (Midnight Blue),https://www.musinsa.com/app/goods/2402152?loc=goods_rank,Afternoonlive Classic Backpack (Midnight Blue),남 여,2.3천 회 이상,100개 이상,"1,432"
324위,바이모스,메신저백8탄 - 블랙,https://www.musinsa.com/app/goods/1202419?loc=goods_rank,메신저백8탄 - 블랙,남 여,3.8천 회 이상,1천 개 이상,"5,235"
325위,소곤소곤,Punk kid bag,https://www.musinsa.com/app/goods/1466305?loc=goods_rank,shouler bag-105,여,500회 이상,50개 이상,"1,423"
326위,파인드카푸어,마티백 18 크링클드 - 크림,https://www.musinsa.com/app/goods/3042852?loc=goods_rank,1110308,여,4.6천 회 이상,100개 이상,788
327위,이우가마카라스,Triple Covered Crow Buckle Bag,https://www.musinsa.com/app/goods/1736022?loc=goods_rank,01-14,남 여,1.1만 회 이상,700개 이상,"8,085"
328위,투오,LIZZLE BLACK · 리즐 블랙,https://www.musinsa.com/app/goods/3187889?loc=goods_rank,T310022,여,,,5
329위,카고브로스,CB 하프 서클 크로스백 (블랙),https://www.musinsa.com/app/goods/2158922?loc=goods_rank,CB217002,남,2.6천 회 이상,1천 개 이상,"1,801"
330위,제이에스티나,JOELLE 진주숏체인 SI (JEACEK2BS106SI360),https://www.musinsa.com/app/goods/2339218?loc=goods_rank,JEACEK2BS106SI360,여,200회 이상,,167
331위,로우로우,스트링 슬링백 750 ep.2 Black,https://www.musinsa.com/app/goods/1100865?loc=goods_rank,RSL7513BKZF,남 여,800회 이상,300개 이상,"2,211"
332위,맥앤칩스,Metal velcro gym sack (dark purple),https://www.musinsa.com/app/goods/2635647?loc=goods_rank,22smgs01pp,여,7천 회 이상,500개 이상,"5,197"
333위,루이까또즈,남성반지갑 SK4AH17GA,https://www.musinsa.com/app/goods/1369136?loc=goods_rank,LLSK4AH17MF5GA0011,남,,,34
334위,헤지스 맨 액세서리,[Online Limited] 네이비 소가죽 세로형 반지갑(카드지갑),https://www.musinsa.com/app/goods/2351352?loc=goods_rank,HJWA3F939N3,남,400회 이상,50개 이상,165
335위,마뗑킴,MATIN LOGO ECOBAG IN BLACK,https://www.musinsa.com/app/goods/2982246?loc=goods_rank,MK229DBG042M0BB,남 여,2.3만 회 이상,1.1천 개 이상,"6,348"
336위,무직타이거,레이지 타이거 랩탑&태블릿 파우치 15~16인치,https://www.musinsa.com/app/goods/2707446?loc=goods_rank,8809706841281,라이프,,50개 미만,89
337위,노스페이스,NM2DP00J 슈퍼 팩,https://www.musinsa.com/app/goods/2972796?loc=goods_rank,NM2DP00J,남,9.5천 회 이상,800개 이상,"3,064"
338위,얼티메이크,17인치 랩탑노트북 파우치 가방 블랙,https://www.musinsa.com/app/goods/3019919?loc=goods_rank,LaptopPouch,남,300회 이상,,59
339위,휘 드 베르누이,여성 스몰 스트라이프 린넨 토트백 - 블랙 / TOTESFBLACK,https://www.musinsa.com/app/goods/2407144?loc=goods_rank,TOTESFBLACKSS22,여,700회 이상,50개 미만,135
340위,루이까또즈,MONTE(몬트) 여성숄더백 HR1SO01BL,https://www.musinsa.com/app/goods/3176522?loc=goods_rank,LVHR1SO01FA0BL0300,여,200회 이상,,31
341위,페넥,CIRCLE PADDING CARD SLOT - BLACK,https://www.musinsa.com/app/goods/2684204?loc=goods_rank,FL3CW02BKF,여,8.7천 회 이상,900개 이상,"3,896"
342위,무신사 스탠다드,비건 레더 스퀘어 미니 크로스 백 [블랙],https://www.musinsa.com/app/goods/2149959?loc=goods_rank,MMABG017-BK,남 여,5.3천 회 이상,1.6천 개 이상,"6,207"
343위,세인트스코트,브리 NS 미니 크로스백,https://www.musinsa.com/app/goods/1924864?loc=goods_rank,GIPK558 인디 핑크,여,300회 이상,,201
344위,시에라디자인,PACKABLE TOTE BAG BLACK,https://www.musinsa.com/app/goods/2902633?loc=goods_rank,N2243LBG44BLK,남,,,4
345위,제이에스티나,JOELLE MUAH MD 사첼 IV (JHNCHD1BS940IV980),https://www.musinsa.com/app/goods/1748785?loc=goods_rank,JHNCHD1BS940IV980,여,700회 이상,100개 이상,"3,254"
346위,헨리스튜어트,라이언 엠블럼 천연소가죽 클러치 브라운,https://www.musinsa.com/app/goods/2872617?loc=goods_rank,HENRYSTUAR_clutch,남,,,3
347위,강단,Architecture Padded Bag - 더스트,https://www.musinsa.com/app/goods/2414510?loc=goods_rank,KDGWM182210DU,남 여,300회 이상,,160
348위,필인더블랭크,Trapezoid Shoulder Bag (crack)(eggshell),https://www.musinsa.com/app/goods/2491355?loc=goods_rank,P00000SK,여,1.1만 회 이상,1.6천 개 이상,"10,638"
349위,엠엘비,클래식 모노그램 레인보우 후디백 NY (IVORY),https://www.musinsa.com/app/goods/1998460?loc=goods_rank,32BGPC111-50I,여,700회 이상,50개 미만,"1,562"
350위,니히,ENVELOPE BAG_BABY PINK,https://www.musinsa.com/app/goods/2716715?loc=goods_rank,NHEVCBP01,여,500회 이상,,324
351위,이스트팩,[AUTHENTIC] PADDED PAKR XL 패디드 파커 XL (ELABA08 8),https://www.musinsa.com/app/goods/1802030?loc=goods_rank,ELABA088,남,5.5천 회 이상,1.3천 개 이상,"2,752"
352위,아코크,Multipocket Backpack_Glossy Black,https://www.musinsa.com/app/goods/2470981?loc=goods_rank,376006,여,1.2천 회 이상,100개 이상,"1,263"
353위,카네이테이,딥 (화이트),https://www.musinsa.com/app/goods/1343794?loc=goods_rank,78,남 여,3.3천 회 이상,400개 이상,"2,479"
354위,몬스터리퍼블릭,MSRC 004 MINI BAG / BLACK,https://www.musinsa.com/app/goods/1470521?loc=goods_rank,200507367518,남,1.2천 회 이상,400개 이상,"2,683"
355위,마뗑킴,ACCORDION WALLET IN PINK,https://www.musinsa.com/app/goods/2527609?loc=goods_rank,MK2212WL001M0PK,남 여,6천 회 이상,600개 이상,"3,632"
356위,스위치,CITY BOYS LAPTOP CASE 002 Cream,https://www.musinsa.com/app/goods/2003387?loc=goods_rank,CT-026-CR,남,900회 이상,200개 이상,592
357위,아이띵소,HEN STRING RUCKSACK 헨 스트링 럭색,https://www.musinsa.com/app/goods/2622333?loc=goods_rank,1624155,여,6.6천 회 이상,400개 이상,"3,444"
358위,스퀘어라인,Silli shoulder bag - S1007 (6color),https://www.musinsa.com/app/goods/3045079?loc=goods_rank,S1007,여,1.4만 회 이상,300개 이상,"4,870"
359위,칼린,소프트 M 9colors _H71307020,https://www.musinsa.com/app/goods/2998385?loc=goods_rank,H71307020,여,1.1만 회 이상,800개 이상,"1,800"
360위,얼모스트블루,이즈로 메신저백,https://www.musinsa.com/app/goods/976512?loc=goods_rank,IZSFMBA01BK,남 여,7.2천 회 이상,2.1천 개 이상,"8,581"
