순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
271위,비슬로우,23SS ONE TUCK WASHED BELTED PANTS ECRU,https://www.musinsa.com/app/goods/3045780?loc=goods_rank,BSL23SSOTWBPEC,남,1.8천 회 이상,50개 미만,185
272위,골든베어,Pocket detail One tuck Pants (for Women)_G5PAM23521NYX,https://www.musinsa.com/app/goods/3070378?loc=goods_rank,G5PAM23521NYX,남,,,3
273위,노매뉴얼,TWO TUCK NYLON PANTS - VINTAGE RED,https://www.musinsa.com/app/goods/3047556?loc=goods_rank,NM31PT01M1LP,남 여,1.5만 회 이상,200개 이상,"1,599"
274위,이에스엔,세미와이드 카고 데님팬츠 숄트데님,https://www.musinsa.com/app/goods/3083087?loc=goods_rank,723_bl,남,5.3천 회 이상,100개 이상,650
275위,마틴플랜,Martin Half Denim - BLACK,https://www.musinsa.com/app/goods/3155044?loc=goods_rank,FTRSDDH611M,남,,,68
276위,러닝하이,투 톤 카고 팬츠 [카키 베이지],https://www.musinsa.com/app/goods/3031675?loc=goods_rank,23SS-B2-1,남 여,8.2천 회 이상,200개 이상,"2,756"
277위,우알롱,Signature jogger pants - CREAM,https://www.musinsa.com/app/goods/2287455?loc=goods_rank,pt_21ss_008cr,남 여,7천 회 이상,2.9천 개 이상,"13,902"
278위,플레어업,Obtuse Triangle Flap Pants - Black (FL-226),https://www.musinsa.com/app/goods/2888935?loc=goods_rank,FL-226_Black,남,4.8천 회 이상,200개 이상,"1,645"
279위,수아레,[2PACK] 린넨 라이크 세미 와이드 OR 테이퍼드 밴딩 팬츠 세트,https://www.musinsa.com/app/goods/3200524?loc=goods_rank,5002196193,남,2.3만 회 이상,400개 이상,"1,143"
280위,코닥,컬러플러스 우븐 숏팬츠 NAVY,https://www.musinsa.com/app/goods/1363310?loc=goods_rank,K2223LHP21NVY,남,1.2천 회 이상,100개 이상,141
281위,플랙,셋업 스텝 051V 아이보리,https://www.musinsa.com/app/goods/3066946?loc=goods_rank,PJTH5ST051VLZ0,남,2.5천 회 이상,50개 이상,265
282위,무신사 스탠다드,원 턱 루즈 테이퍼드 데님 팬츠 [딥 인디고],https://www.musinsa.com/app/goods/2447787?loc=goods_rank,MMBNP101-DI,남,1.6만 회 이상,2.9천 개 이상,"5,324"
283위,아카이브 볼드,939 TYPE O SWEAT PANTS (OATMEAL),https://www.musinsa.com/app/goods/3048062?loc=goods_rank,AB23SUSW009OT,남,,,160
284위,브랜디드,51054 CONE BLACK MYSTIC JEANS [EXTRA WIDE STRAIGHT],https://www.musinsa.com/app/goods/2970969?loc=goods_rank,LOT51054,남,7.5천 회 이상,400개 이상,"1,552"
