순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
91위,앨리스마샤,에린 11Colors 셔링백,https://www.musinsa.com/app/goods/2105328?loc=goods_rank,294367,여,8.6천 회 이상,1.4천 개 이상,"8,832"
92위,루이까또즈,남성반지갑 SK4AH71BL,https://www.musinsa.com/app/goods/1369140?loc=goods_rank,LVSK4AH71MF5BL0011,남,700회 이상,50개 이상,567
93위,무르,[3way]에떼백(9color),https://www.musinsa.com/app/goods/2324898?loc=goods_rank,22atte,여,1.3만 회 이상,4.7천 개 이상,"16,978"
94위,이모티오,ONE LINE 미니멀 크로스백 [DIAMOND BLACK],https://www.musinsa.com/app/goods/2305287?loc=goods_rank,EML003BK,남,1만 회 이상,3천 개 이상,"10,159"
95위,아카이브앱크,Lunar bag(glow blue orchid)_OVBLX22505CPB,https://www.musinsa.com/app/goods/2714249?loc=goods_rank,OVBLX22505CPB,여,600회 이상,50개 미만,648
96위,질스튜어트 맨 액세서리,[MATEO] 마테오 빅사이즈 백팩 블랙,https://www.musinsa.com/app/goods/2651256?loc=goods_rank,JUBA2F987BK,남,500회 이상,50개 미만,161
97위,에스에스알엘,dual pocket messenger bag / black,https://www.musinsa.com/app/goods/1564343?loc=goods_rank,SMB001-101,남,1.4만 회 이상,1만 개 이상,"20,125"
98위,메종미네드,BUCKLE STRAP HOBO BAG,https://www.musinsa.com/app/goods/1842449?loc=goods_rank,FMPSABA102M,남 여,5.3만 회 이상,9.4천 개 이상,"43,487"
99위,마뗑킴,BIG BUCKLE BAG IN BLACK,https://www.musinsa.com/app/goods/2890575?loc=goods_rank,MK229NBG033M0BB,남 여,4만 회 이상,600개 이상,"6,086"
100위,르아보네,GATTI bag_black,https://www.musinsa.com/app/goods/1671967?loc=goods_rank,ACG0BK,여,1.5천 회 이상,200개 이상,"4,228"
101위,슈펜,깡스타일리스트 Ⅹ SHOOPEN 메신저백 TPBF79W72,https://www.musinsa.com/app/goods/2216496?loc=goods_rank,744603,남 여,1만 회 이상,2.2천 개 이상,"9,079"
102위,노스페이스,NM2DP52A 핫샷,https://www.musinsa.com/app/goods/3045584?loc=goods_rank,NM2DP52A,남,1.4만 회 이상,900개 이상,"2,524"
103위,스컬프터,Vintage Canvas Duffel Bag Pale Gray,https://www.musinsa.com/app/goods/3034751?loc=goods_rank,CR23S501GY,여,8.5만 회 이상,2.6천 개 이상,"25,276"
104위,몬스터리퍼블릭,COMPOUND MESSENGER BAG SERIES /  메신저백,https://www.musinsa.com/app/goods/276256?loc=goods_rank,151028153453,남 여,1.7만 회 이상,6.3천 개 이상,"30,145"
105위,아더템포,몰토_초코,https://www.musinsa.com/app/goods/2963150?loc=goods_rank,LE_CR,여,1.4천 회 이상,,397
106위,하 아카이브,블랙 나일론 아이패드백,https://www.musinsa.com/app/goods/1453531?loc=goods_rank,S#bi,남 여,1.8만 회 이상,4.3천 개 이상,"19,539"
107위,필인더블랭크,Yoko Bucket Bag (L)(denim),https://www.musinsa.com/app/goods/3029118?loc=goods_rank,P00000WB,여,3.5천 회 이상,50개 이상,"1,092"
108위,베이프릴,라이너 백팩 (블랙),https://www.musinsa.com/app/goods/2370400?loc=goods_rank,liner01,남 여,5.6천 회 이상,1천 개 이상,"3,860"
109위,내셔널지오그래픽,N235ACR570 메쉬 메신져백 BLACK,https://www.musinsa.com/app/goods/2983887?loc=goods_rank,N235ACR570099,남,2.1천 회 이상,50개 이상,269
110위,네이키드니스,앱솔루트 백팩 블랙,https://www.musinsa.com/app/goods/693318?loc=goods_rank,NB15ABG070,남 여,1.8만 회 이상,1만 개 이상,"33,675"
