순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,락피쉬웨더웨어,ORIGINAL RAIN BOOTS SHORT - 8color,https://www.musinsa.com/app/goods/3062046?loc=goods_rank,RF1SHBD1RB009,여,3.1만 회 이상,800개 이상,"3,947"
2위,락피쉬웨더웨어,FLATFORM RAIN BOOTS MIDDLE - 4color,https://www.musinsa.com/app/goods/3134606?loc=goods_rank,RF1SHBD1RB011,여,1.4만 회 이상,100개 이상,"2,275"
3위,질바이질스튜어트,[쭈언니콜라보]캐리 메리제인 슬링백,https://www.musinsa.com/app/goods/3192443?loc=goods_rank,JLSO3E700,여,1.4만 회 이상,1.2천 개 이상,"1,150"
4위,락피쉬웨더웨어,ORIGINAL RAIN BOOTS LONG - 8color,https://www.musinsa.com/app/goods/3061996?loc=goods_rank,RF1SHBD1RB008,여,1.7만 회 이상,600개 이상,"2,207"
5위,리복,코듀라 비트닉 - 락 블랙 / FY2949,https://www.musinsa.com/app/goods/3215382?loc=goods_rank,RESO3ES1UBK,남 여,1천 회 이상,,51
6위,헌터,[WOMEN] 오리지날 플레이 숏 레인부츠 - 블랙 WFS2020RMABLK,https://www.musinsa.com/app/goods/1720813?loc=goods_rank,5002330338,여,1.5만 회 이상,800개 이상,"3,217"
7위,닥터마틴,1461 3홀 모노 블랙 14345001,https://www.musinsa.com/app/goods/595040?loc=goods_rank,14345001,남 여,2.2만 회 이상,8.6천 개 이상,"26,572"
8위,헌터,[WOMEN] 오리지날 톨 레인부츠 - 블랙 WFT1000RMABLK,https://www.musinsa.com/app/goods/1720822?loc=goods_rank,5002330356,여,8.3천 회 이상,500개 이상,"3,794"
9위,우포스,OORIGINAL BLACK - 조리 블랙,https://www.musinsa.com/app/goods/1092992?loc=goods_rank,176885,남 여,5.2만 회 이상,3.3만 개 이상,"48,215"
10위,락피쉬웨더웨어,FLATFORM RAIN BOOTS LONG - 4color,https://www.musinsa.com/app/goods/3134621?loc=goods_rank,RF1SHBD1RB012,여,1만 회 이상,100개 이상,"1,583"
11위,로스트가든,Dive_beige,https://www.musinsa.com/app/goods/2910082?loc=goods_rank,Dive_beige,남 여,1.9만 회 이상,1천 개 이상,"5,940"
12위,닥터마틴,1460 8홀 나파 블랙 무광 11822002,https://www.musinsa.com/app/goods/626636?loc=goods_rank,11822002,남 여,3.9천 회 이상,600개 이상,"9,222"
13위,락피쉬웨더웨어,HAYDEN BOOTS - 7color,https://www.musinsa.com/app/goods/3124961?loc=goods_rank,RF1SHBDEV002,여,4.4만 회 이상,1천 개 이상,"5,778"
14위,닥터마틴,1B99 버지니아 14홀 부츠 블랙 / 11820008,https://www.musinsa.com/app/goods/1724193?loc=goods_rank,11820008,남 여,7.1천 회 이상,1.2천 개 이상,"11,528"
15위,로맨틱무브,베이스먼트 더비 R21M042 (FG 블랙),https://www.musinsa.com/app/goods/1890398?loc=goods_rank,1041,남,1.7만 회 이상,4.2천 개 이상,"9,700"
16위,로스트가든,Nova_beige suede,https://www.musinsa.com/app/goods/2553602?loc=goods_rank,Nova_beige suede,남 여,300회 이상,50개 미만,274
17위,킨,유니크 샌들 Black,https://www.musinsa.com/app/goods/2379000?loc=goods_rank,1014097,남 여,4.5천 회 이상,300개 이상,"1,616"
18위,로렌조반피,포질리포 페니로퍼 스웨이드 다크 네이비 (feat. CLASSSY),https://www.musinsa.com/app/goods/2555608?loc=goods_rank,LRCLHD3LC103,남,1.9천 회 이상,100개 이상,135
19위,닥터마틴,마일즈 블랙 슬리퍼 23523001,https://www.musinsa.com/app/goods/1334438?loc=goods_rank,23523001,남 여,6.3천 회 이상,4.5천 개 이상,"14,014"
20위,락피쉬웨더웨어,ORIGINAL CHELSEA RAINBOOTS - 6color,https://www.musinsa.com/app/goods/3062069?loc=goods_rank,RF1SHBD1RB010,여,1.3만 회 이상,300개 이상,"1,716"
21위,헤레우,여성 페스카 컷 아웃 샌들 - 탄 / WFS21PESC002,https://www.musinsa.com/app/goods/2875389?loc=goods_rank,WFS21PESC002FW22,여,700회 이상,,87
22위,잠트,RAF_BK 유니섹스 스판부츠,https://www.musinsa.com/app/goods/927133?loc=goods_rank,JM00147,남 여,100회 이상,,34
23위,아일랜드슬리퍼,PT203 피넛,https://www.musinsa.com/app/goods/2032681?loc=goods_rank,234787_mu,남 여,1.5천 회 이상,300개 이상,701
24위,아일랜드슬리퍼,PT203 팔로미노,https://www.musinsa.com/app/goods/2032682?loc=goods_rank,234788_mu,남 여,500회 이상,,61
25위,살로몬 스포츠스타일,RX 슬라이드 3.0 - 다크 사파이어:루버 / L47131500,https://www.musinsa.com/app/goods/3172972?loc=goods_rank,L47131500,남 여,3.2천 회 이상,50개 미만,96
26위,팀버랜드,남성 팀버랜드 6인치 프리미엄 부츠 / 10061-713,https://www.musinsa.com/app/goods/451851?loc=goods_rank,10061-713,남,6.3천 회 이상,1.6천 개 이상,"8,592"
27위,엠엘비,빅볼청키 마스크 NY (Cream),https://www.musinsa.com/app/goods/3097625?loc=goods_rank,3ASDCH133-50CRS,남 여,6.2천 회 이상,50개 이상,"1,005"
28위,닥터마틴,블레어 블랙 브란도 샌들 24191001,https://www.musinsa.com/app/goods/1334442?loc=goods_rank,24191001,남 여,1.5천 회 이상,500개 이상,"5,550"
29위,락피쉬웨더웨어,첼시 레인부츠 - 6color,https://www.musinsa.com/app/goods/1897197?loc=goods_rank,RF1SHBB1RB032_2021,여,6.4천 회 이상,2.3천 개 이상,"4,561"
30위,피에스메리제인,Two wave pumps (black),https://www.musinsa.com/app/goods/1155510?loc=goods_rank,PP9030,여,,,9
31위,피렌체 아뜨리에,SECOND.A 볼륨 라운드토 5CM 더비슈즈 2NDF2700GB [BLACK],https://www.musinsa.com/app/goods/2433538?loc=goods_rank,2NDF2700GB,남,2.3만 회 이상,7.9천 개 이상,"13,647"
32위,닥터마틴,1461 3홀 벡스 블랙 스무스 / 21084001,https://www.musinsa.com/app/goods/1562990?loc=goods_rank,21084001,남 여,9.1천 회 이상,1.6천 개 이상,"10,023"
33위,헌터,[WOMEN] 오리지날 플레이 톨 레인부츠 - 아틱모스 WFT2007RMAATM,https://www.musinsa.com/app/goods/2650879?loc=goods_rank,5002330327,여,5천 회 이상,50개 이상,"1,372"
34위,헌터,[WOMEN] 오리지날 톨 레인부츠 - 스키밍스톤 WFT1000RMASNE,https://www.musinsa.com/app/goods/3144298?loc=goods_rank,5002330355,여,800회 이상,,70
35위,무신사 스탠다드,플레인 더비 슈즈 [블랙],https://www.musinsa.com/app/goods/2101924?loc=goods_rank,MMAFL005-BK,남 여,1.3만 회 이상,3.8천 개 이상,"5,565"
36위,위더로드,WTRD1203 클리프 스퀘어토 4홀 더비슈즈 블랙 [250~290MM],https://www.musinsa.com/app/goods/2091749?loc=goods_rank,WTRD1203,남 여,2.9만 회 이상,1.7만 개 이상,"29,106"
37위,락피쉬웨더웨어,LOWEN RAIN BOOTS MIDDLE - 3color,https://www.musinsa.com/app/goods/3134563?loc=goods_rank,RF1SHBD1RB006,여,3.5천 회 이상,50개 미만,305
38위,레인보우샌들,모카신 슈즈 SIERRA BROWN,https://www.musinsa.com/app/goods/2243103?loc=goods_rank,MOCASHOE SRBR,남 여,2.4천 회 이상,100개 이상,727
39위,로스트가든,Poc,https://www.musinsa.com/app/goods/1667801?loc=goods_rank,Poc,남,500회 이상,,121
40위,로맨틱무브,베이스먼트 더비 R21M042 (BX 블랙),https://www.musinsa.com/app/goods/1815709?loc=goods_rank,1039,남,1.2만 회 이상,5.9천 개 이상,"16,111"
41위,팀버랜드,여성 레이스업 통굽부츠 브라운_TB0A2KMU2311,https://www.musinsa.com/app/goods/2899506?loc=goods_rank,TB0A2KMU2311,여,300회 이상,,169
42위,포스트맨,타이프라이터 블랙,https://www.musinsa.com/app/goods/2439341?loc=goods_rank,PMS212MSE05T020,남 여,800회 이상,50개 이상,193
43위,피렌체 아뜨리에,SECOND.A 벌룬 더비슈즈 2NDF2800GB [BLACK],https://www.musinsa.com/app/goods/2518112?loc=goods_rank,2NDF2800GB,남,1만 회 이상,3.4천 개 이상,"9,856"
44위,크록스,공용 CLASSIC WT (23SUCL10001),https://www.musinsa.com/app/goods/3026984?loc=goods_rank,23SUCL10001_Z100,남 여,8.6천 회 이상,500개 이상,"1,321"
45위,리복,코듀라 비트닉 - 샌드 베이지 / FY2948,https://www.musinsa.com/app/goods/3215380?loc=goods_rank,RESO3ES2UI2,남 여,300회 이상,,52
46위,야세,산토리니 샌들 레더 블랙 552,https://www.musinsa.com/app/goods/1419869?loc=goods_rank,2224565,남 여,7.3천 회 이상,1.7만 개 이상,"25,296"
47위,킨,뉴포트 H2 샌들 Triple Black,https://www.musinsa.com/app/goods/2378989?loc=goods_rank,1022258,남 여,4.2천 회 이상,100개 이상,687
48위,우포스,OOAHH BLACK - 슬리퍼 블랙,https://www.musinsa.com/app/goods/1129750?loc=goods_rank,174574,남 여,1.2만 회 이상,5.7천 개 이상,"5,871"
