순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
361위,와이씨더블유,27 로고 크롭 배기 테이퍼드  연청 데님,https://www.musinsa.com/app/goods/2447220?loc=goods_rank,MPY105GIN,남,200회 이상,,126
362위,엠오오,파라슈트 벌룬와이드 카고팬츠 - 카키,https://www.musinsa.com/app/goods/3106676?loc=goods_rank,S02,남,400회 이상,,33
363위,우알롱,Signature jogger pants - CREAM,https://www.musinsa.com/app/goods/2287455?loc=goods_rank,pt_21ss_008cr,남 여,7천 회 이상,2.9천 개 이상,"13,902"
364위,토피,벌룬핏 데님 와이드 팬츠 (G.BLEACH),https://www.musinsa.com/app/goods/2132232?loc=goods_rank,T1F-BFWDPT,남,3.5만 회 이상,6천 개 이상,"15,282"
365위,노매뉴얼,TWO TUCK NYLON PANTS - VINTAGE RED,https://www.musinsa.com/app/goods/3047556?loc=goods_rank,NM31PT01M1LP,남 여,1.5만 회 이상,200개 이상,"1,600"
366위,락케이크,트라이벌 2way 조거 팬츠 - 블랙,https://www.musinsa.com/app/goods/2599295?loc=goods_rank,R-T010-1,여,1.1만 회 이상,3.1천 개 이상,"19,861"
367위,비슬로우,ONE TUCK CURVED JEAN_IVORY,https://www.musinsa.com/app/goods/1753536?loc=goods_rank,BSS21SONTUCUJEIV,남,1.4만 회 이상,5.2천 개 이상,"16,878"
368위,메종미네드,SWELL WIDE DENIM PANTS BLACK,https://www.musinsa.com/app/goods/2039334?loc=goods_rank,FMPFDDW120M,남,5.8천 회 이상,1.4천 개 이상,"5,976"
369위,프렌다,PCF JERSEY JOGGER PANTS BLACK,https://www.musinsa.com/app/goods/2352705?loc=goods_rank,PRTOAAPT21UC6,여,9.1천 회 이상,1.7천 개 이상,"10,303"
370위,어반드레스,BUCKLE WIDE DENIM PANTS STONE BLUE,https://www.musinsa.com/app/goods/2479965?loc=goods_rank,22SS05,남 여,2만 회 이상,3.4천 개 이상,"16,105"
371위,그라미치,루즈테이퍼드 팬츠 Dark Brown,https://www.musinsa.com/app/goods/1566730?loc=goods_rank,9001-56J,남 여,2천 회 이상,200개 이상,684
372위,노스페이스,NP6KP02A 시드 테크 트레이닝 팬츠,https://www.musinsa.com/app/goods/3045578?loc=goods_rank,NP6KP02A,남,300회 이상,,29
373위,무신사 스탠다드,원 턱 와이드 라운지 스웨트 팬츠 [미디엄 그레이],https://www.musinsa.com/app/goods/2307746?loc=goods_rank,MMBPK103-MR,남,2.5만 회 이상,1.4만 개 이상,"16,389"
374위,오더아카이브,투턱 와이드 데님팬츠 라이트블루,https://www.musinsa.com/app/goods/2423296?loc=goods_rank,OP00ACDP130LB,남,4.8천 회 이상,900개 이상,"2,264"
375위,주앙옴므,PLEATED WIDE COTTON PANTS (LIGHT GREY),https://www.musinsa.com/app/goods/2619871?loc=goods_rank,J22SSPT008-LG,남,2.1천 회 이상,500개 이상,"1,180"
376위,스컬프터,Chunky Cotton Pants Black,https://www.musinsa.com/app/goods/2731235?loc=goods_rank,SC22A445BK,남 여,900회 이상,50개 이상,957
377위,코드그라피,[SET][기본핏+레귤러핏 선택] 소프트 코튼 에센셜 쇼츠,https://www.musinsa.com/app/goods/1892520?loc=goods_rank,CBCU3PS005CBCU3PS008,남 여,1.7만 회 이상,1.7만 개 이상,"14,432"
378위,메종미네드,SAINT TWO TUCK WIDE PANTS BEIGE,https://www.musinsa.com/app/goods/1803234?loc=goods_rank,FMPSCPS102M,남,2천 회 이상,200개 이상,"1,773"
379위,무신사 스탠다드,슬림 크롭 데님 팬츠 [미디엄 인디고],https://www.musinsa.com/app/goods/1321880?loc=goods_rank,MMJNP001-MI,남,1만 회 이상,6.6천 개 이상,"13,128"
380위,아티스트웨어,[ATW] 컴포트 스판 데님팬츠_중청,https://www.musinsa.com/app/goods/2768666?loc=goods_rank,AT2CH-F1PT805,남 여,1천 회 이상,100개 이상,196
381위,브루먼,Compact Easy Pants (Olive Grey),https://www.musinsa.com/app/goods/2642329?loc=goods_rank,22SS304OL,남,200회 이상,50개 미만,56
382위,마틴플랜,Martin Half Denim - BLACK,https://www.musinsa.com/app/goods/3155044?loc=goods_rank,FTRSDDH611M,남,,,68
383위,디앤에스알,사이드 라인 데님 블랙,https://www.musinsa.com/app/goods/3152335?loc=goods_rank,23SS,남,2.8천 회 이상,,282
384위,그라미치,루즈테이퍼드 팬츠 Gravel Grey,https://www.musinsa.com/app/goods/2341146?loc=goods_rank,G103-OGT,남 여,2.6천 회 이상,400개 이상,551
385위,브렌슨,[패키지] 미니멀 트레이닝 essential 반바지 (롱 기장 버전 추가),https://www.musinsa.com/app/goods/1446775?loc=goods_rank,BR452,남,3.1만 회 이상,3.5만 개 이상,"31,266"
386위,드로우핏,쓰리턱 릴렉스드핏 테이퍼드 울 슬랙스 [BLACK],https://www.musinsa.com/app/goods/3052286?loc=goods_rank,DFPT3104BK,남,1.5천 회 이상,50개 이상,309
387위,트릴리온,바이오스톤 워싱 와이드 데님 팬츠 (DEEP GRAY),https://www.musinsa.com/app/goods/2351444?loc=goods_rank,TRSDPT02,남 여,4.4만 회 이상,1.7만 개 이상,"26,154"
388위,코닥,컬러플러스 우븐 숏팬츠 NAVY,https://www.musinsa.com/app/goods/1363310?loc=goods_rank,K2223LHP21NVY,남,1.2천 회 이상,100개 이상,141
389위,메종미네드,BLAST DESTROYED DENIM PANTS,https://www.musinsa.com/app/goods/1803223?loc=goods_rank,FMPSDDS104M,남,700회 이상,50개 미만,252
390위,아카이브 볼드,939 TYPE O SWEAT PANTS (OATMEAL),https://www.musinsa.com/app/goods/3048062?loc=goods_rank,AB23SUSW009OT,남,,,160
391위,챱챱,Circle Chap Logo Sweat Pants(khaki),https://www.musinsa.com/app/goods/2404853?loc=goods_rank,2022PTCK005,여,700회 이상,200개 이상,"1,530"
392위,모드나인,Blue Stardust - MOD1w,https://www.musinsa.com/app/goods/2261213?loc=goods_rank,Blue Stardust - MOD1w,남,2.7만 회 이상,6천 개 이상,"14,545"
393위,시그니처,투턱 와이드 슬랙스 [그레이],https://www.musinsa.com/app/goods/1832529?loc=goods_rank,21ss-2wdsl002,남,1.2만 회 이상,6.5천 개 이상,"14,146"
394위,마리떼,W X-POCKET TAPERED DENIM PANTS light blue,https://www.musinsa.com/app/goods/2316019?loc=goods_rank,1MG23CDP102,여,600회 이상,50개 이상,238
395위,아티스트웨어,[ATW] 나폴레옹 와이드 밴딩 팬츠_BK,https://www.musinsa.com/app/goods/2707602?loc=goods_rank,AT2CH-F1PT809-BK,남 여,2.3만 회 이상,3.5천 개 이상,"15,600"
396위,에드,토네이도 와이드 데님 그레이,https://www.musinsa.com/app/goods/2108421?loc=goods_rank,AFW21 DN01,남,5.2천 회 이상,800개 이상,"4,621"
397위,무신사 스탠다드,와이드 데님 팬츠 [그레이],https://www.musinsa.com/app/goods/2208663?loc=goods_rank,MMJNP006-GR,남,2.9만 회 이상,7.6천 개 이상,"11,597"
398위,디스커버리 익스페디션,메인크루 비치 그래픽 여성 쇼츠 (D/PINK),https://www.musinsa.com/app/goods/3170460?loc=goods_rank,DWSP7B033-PKD,여,,,6
