순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,질바이질스튜어트,[쭈언니콜라보]레더 나노 케미백,https://www.musinsa.com/app/goods/3192309?loc=goods_rank,JLBA3E34,여,2만 회 이상,900개 이상,"1,155"
2위,로우로우,캐리어 세트 R TRUNK 816 LITE ep.2 BLACK 20인치 37L+27인치 72L,https://www.musinsa.com/app/goods/2914916?loc=goods_rank,RTR8163BKZF,남,500회 이상,50개 미만,74
3위,질바이질스튜어트,[쭈언니콜라보]리사이클 나일론 라지 케미백,https://www.musinsa.com/app/goods/2789786?loc=goods_rank,JLBA3E320BK,여,1.8만 회 이상,1.4천 개 이상,"3,058"
4위,칼린,코지 12colors_H72303010,https://www.musinsa.com/app/goods/2664933?loc=goods_rank,H72303010,여,1.8만 회 이상,2.5천 개 이상,"6,157"
5위,스탠드오일,Chubby bag · 츄비백,https://www.musinsa.com/app/goods/2558648?loc=goods_rank,22G-039A,여,4.2만 회 이상,5.9천 개 이상,"18,630"
6위,루에브르,Sac de Classique Large FA2AB099-GM,https://www.musinsa.com/app/goods/2811144?loc=goods_rank,FA2AB0990_GM,여,500회 이상,,239
7위,질스튜어트액세서리,[젤라또] 네이비 스티치장식 면 슬링백,https://www.musinsa.com/app/goods/3000157?loc=goods_rank,JABA3E955N2,여,1만 회 이상,600개 이상,"6,991"
8위,발렌시아가,여성 XS 휠 드로스트링 버킷백 - 블랙 / 656682H854N1060,https://www.musinsa.com/app/goods/2973716?loc=goods_rank,656682H854N1060FW22,여,2.5천 회 이상,50개 미만,358
9위,마뗑킴,BUCKLE BAG IN BLACK,https://www.musinsa.com/app/goods/1835080?loc=goods_rank,M21SSBG01BK,남 여,4.8만 회 이상,5.8천 개 이상,"41,740"
10위,드래곤디퓨전,폼폼 더블점프 백 8838 Tan,https://www.musinsa.com/app/goods/2231828?loc=goods_rank,8838,여,300회 이상,,77
11위,아우로,ADVENTURE BACKPACK [  SOUP ],https://www.musinsa.com/app/goods/3214881?loc=goods_rank,ouro_110,여,500회 이상,,70
12위,스위치,TOTE BRIEF 002 M Black,https://www.musinsa.com/app/goods/2924120?loc=goods_rank,CT-046,여,500회 이상,50개 미만,216
13위,스탠드오일,Butter bag  Classic · 버터백 클래식,https://www.musinsa.com/app/goods/2343665?loc=goods_rank,20N-006B,여,4.9만 회 이상,1.3만 개 이상,"30,451"
14위,아카이브앱크,Shell teen bag(Lizard black)_OVBAX23005LIK,https://www.musinsa.com/app/goods/3182141?loc=goods_rank,OVBAX23005LIK,여,500회 이상,,57
15위,마뗑킴,ACCORDION WALLET IN BLACK,https://www.musinsa.com/app/goods/1969507?loc=goods_rank,P0000DFG,남 여,7.1만 회 이상,1.3만 개 이상,"45,617"
16위,스탠드오일,Oblong bag · 오블롱백,https://www.musinsa.com/app/goods/2344538?loc=goods_rank,21N-010A,여,5.4만 회 이상,2만 개 이상,"33,399"
17위,아카이브앱크,Mini bowling bag(Deep sleep)_OVBLX23001BLK,https://www.musinsa.com/app/goods/1910358?loc=goods_rank,OVBLX23001BLK,여,1.9만 회 이상,4.4천 개 이상,"25,880"
18위,프루아,브리즈,https://www.musinsa.com/app/goods/2630526?loc=goods_rank,breeze,여,2.6만 회 이상,2.1천 개 이상,"20,255"
19위,스컬프터,Vintage Canvas Duffel Bag Pale Gray,https://www.musinsa.com/app/goods/3034751?loc=goods_rank,CR23S501GY,여,8.5만 회 이상,2.6천 개 이상,"25,242"
20위,자크뮈스,여성 미니 르 치키토 토트백 - 라이트 그린 / 213BA0013063510,https://www.musinsa.com/app/goods/2843851?loc=goods_rank,213BA0013063510FW22,여,1.8천 회 이상,,0
21위,마뗑킴,SPORTY TOTE BAG IN BEIGE,https://www.musinsa.com/app/goods/2235273?loc=goods_rank,MTK21BBG016W0BE,여,7.6천 회 이상,500개 이상,"6,725"
22위,하 아카이브,아크 블랙 메신저백,https://www.musinsa.com/app/goods/1789507?loc=goods_rank,S#ak1,남 여,10.6만 회 이상,4.4만 개 이상,"107,277"
23위,분크,Occam Droit Shoulder Piccolo Croco (오캄 디롯트 숄더 피콜로)_2colors,https://www.musinsa.com/app/goods/3043196?loc=goods_rank,m1037_920105,여,2.2천 회 이상,,553
24위,발렌시아가,공용 로고 카드 홀더 - 블랙 / 64010923EG11000,https://www.musinsa.com/app/goods/2931967?loc=goods_rank,64010923EG11000SS22,남 여,1.5천 회 이상,,255
25위,드메리엘,Bowling Bag Small_Silver,https://www.musinsa.com/app/goods/2606102?loc=goods_rank,BOWLINGBAG,여,1천 회 이상,50개 미만,531
26위,노스페이스,NM2DN57A 빅샷 에어,https://www.musinsa.com/app/goods/2229494?loc=goods_rank,NM2DN57A,남,3.8천 회 이상,100개 이상,"1,359"
27위,질바이질스튜어트,[쭈언니콜라보]리사이클 나일론 미디움 케미백,https://www.musinsa.com/app/goods/2789787?loc=goods_rank,JLBA3E330BK,여,1.7만 회 이상,2천 개 이상,"4,413"
28위,팔렛,레더 2way 슬링백 블랙,https://www.musinsa.com/app/goods/2502052?loc=goods_rank,FA2201BG04BK,남 여,4.2천 회 이상,500개 이상,"3,763"
29위,드파운드,town bag (bucket shoulder) - herringbone ivory,https://www.musinsa.com/app/goods/3128165?loc=goods_rank,DP2313BG001MIVXX,여,3.5천 회 이상,50개 미만,439
30위,베이프릴,피어 메신저백 (블랙),https://www.musinsa.com/app/goods/2514819?loc=goods_rank,peer1,남 여,2.5만 회 이상,3.5천 개 이상,"8,865"
31위,질바이질스튜어트,[쭈언니콜라보]레더 미디움 케미백,https://www.musinsa.com/app/goods/2789785?loc=goods_rank,JLBA3E311BK,여,2.8만 회 이상,3.4천 개 이상,"12,241"
32위,이우가마카라스,H-Buckle Holster Bag,https://www.musinsa.com/app/goods/1971352?loc=goods_rank,01-22,남 여,6.1천 회 이상,200개 이상,"3,646"
