순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,코드그라피,[패키지][써머ver] 쿨 나일론 스트링 팬츠,https://www.musinsa.com/app/goods/3141395?loc=goods_rank,CBCS1PL008CBCS1PL012,남 여,12.9만 회 이상,2.9천 개 이상,"8,039"
2위,999휴머니티,나일론 이지 팬츠 (블랙),https://www.musinsa.com/app/goods/3118853?loc=goods_rank,999H23SSUPT001,남 여,5천 회 이상,50개 이상,387
3위,지프,1941 스몰 와펜 조거팬츠 (JN6TSU900BK),https://www.musinsa.com/app/goods/3061214?loc=goods_rank,JN6TSU900BK,남,1.3만 회 이상,500개 이상,692
4위,무신사 스탠다드,스트레이트 데님 팬츠 [라이트 인디고],https://www.musinsa.com/app/goods/2028327?loc=goods_rank,MMANP005-LI,남,10.6만 회 이상,3.2만 개 이상,"28,701"
5위,토피,와이드 데님 팬츠 (LIGHT BLUE),https://www.musinsa.com/app/goods/858911?loc=goods_rank,TAS-WDDP02,남,16.9만 회 이상,5.8만 개 이상,"134,758"
6위,브랜디드,609 HARD TWIST DENIM VINTAGE MOCHA JEANS [WIDE STRAIGHT],https://www.musinsa.com/app/goods/2599903?loc=goods_rank,LOT609,남,2.6천 회 이상,300개 이상,"1,311"
7위,이티씨이,UNBALANCED CARGO PANTS Ⅱ (BLACK),https://www.musinsa.com/app/goods/3067148?loc=goods_rank,23SS-UNBALANCED CARGO PANTS Ⅱ,남,1.8천 회 이상,50개 이상,225
8위,브랜디드,1967 JET BLACK JEANS [WIDE STRAIGHT],https://www.musinsa.com/app/goods/1552753?loc=goods_rank,LOT1967,남,9.5만 회 이상,3.6만 개 이상,"87,100"
9위,제로,Deep One Tuck Sweat Shorts [Grey],https://www.musinsa.com/app/goods/1926048?loc=goods_rank,2021HS04,남,6.1만 회 이상,4.5만 개 이상,"39,658"
10위,가까이 유니언즈,원턱 와이드 스웨트팬츠 그레이,https://www.musinsa.com/app/goods/2112059?loc=goods_rank,GU01BGR,남,26.4만 회 이상,18.6만 개 이상,"157,324"
11위,어널러코드,사계절 스트링 트레이닝팬츠 (그레이),https://www.musinsa.com/app/goods/1568057?loc=goods_rank,FSST003,남 여,10.6만 회 이상,4.6만 개 이상,"90,388"
12위,굿라이프웍스,[여름원단] 와이드 빅포켓 밴딩 카고 팬츠 진베이지,https://www.musinsa.com/app/goods/2060717?loc=goods_rank,21FLGP07DB,남 여,10.1만 회 이상,1.4만 개 이상,"31,590"
13위,브렌슨,[패키지] 와이드핏 트레이닝 스웨트 팬츠,https://www.musinsa.com/app/goods/1736085?loc=goods_rank,BR481,남,13.3만 회 이상,10.2만 개 이상,"88,608"
14위,엑스톤즈,XP127 셔링 카고 팬츠 (BLACK),https://www.musinsa.com/app/goods/2789091?loc=goods_rank,XP127,남 여,4.1만 회 이상,3.2천 개 이상,"9,930"
15위,제로,Deep One Tuck Sweat Pants [Black],https://www.musinsa.com/app/goods/1551839?loc=goods_rank,2020F10,남,6.5만 회 이상,4.9만 개 이상,"40,631"
16위,이에이,FLAG TRACK PANTS Black,https://www.musinsa.com/app/goods/3170210?loc=goods_rank,IYPTDA003BK,남,1.4천 회 이상,,111
17위,시그니처,더블턱 와이드 슬랙스[블랙],https://www.musinsa.com/app/goods/2578996?loc=goods_rank,SSL-001,남,5.4만 회 이상,2만 개 이상,"34,535"
18위,어널러코드,사계절 스트링 트레이닝팬츠 (블랙),https://www.musinsa.com/app/goods/1568032?loc=goods_rank,FSST002,남 여,5.2만 회 이상,1.8만 개 이상,"28,120"
19위,트릴리온,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLUE),https://www.musinsa.com/app/goods/2706287?loc=goods_rank,TRSDPT02,남 여,10.7만 회 이상,1.4만 개 이상,"30,164"
