순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
271위,인사일런스,크로셰 칼라 카디건 IVORY,https://www.musinsa.com/app/goods/3136607?loc=goods_rank,IM2C2KT10IV,남,3.2천 회 이상,50개 미만,220
272위,시그니처,세미오버핏 싱글 블레이저 자켓[검정],https://www.musinsa.com/app/goods/727847?loc=goods_rank,BL-004,남,2.9만 회 이상,4.8천 개 이상,"24,013"
273위,디미트리블랙,(올시즌) 2WAY 어센틱 후드 윈드브레이커 자켓_네이비,https://www.musinsa.com/app/goods/2723217?loc=goods_rank,DBBF8jk10NY,남 여,2.1만 회 이상,900개 이상,"2,602"
274위,라퍼지스토어,윈드셀 포켓 블루종 자켓_Cream,https://www.musinsa.com/app/goods/3075955?loc=goods_rank,1111,남 여,1.4만 회 이상,200개 이상,961
275위,네스티팬시클럽,[PPG X FANCY] 버블리 나일론 윈드브레이커 셋업 (CHARCOAL)_F23PG1004X1015,https://www.musinsa.com/app/goods/3072938?loc=goods_rank,F23PG1004SETCHOS,여,9.4천 회 이상,100개 이상,"1,194"
276위,비터셀즈,에코 레더 레이싱 자켓-블랙,https://www.musinsa.com/app/goods/2749952?loc=goods_rank,Eco Leather Lacing Jacket-Black,여,2.7만 회 이상,1.5천 개 이상,"9,863"
277위,노스페이스,NJ3NN52B 루이스 온볼 스탠드넥 자켓,https://www.musinsa.com/app/goods/2705193?loc=goods_rank,NJ3NN52B,남,1.4천 회 이상,50개 이상,217
278위,아이러니포르노 화이트라인,[비건스웨이드] 크루얼티프리 알파 스웨이드 자켓 iro097 블랙,https://www.musinsa.com/app/goods/2085156?loc=goods_rank,iro097,남 여,5.3만 회 이상,4.3천 개 이상,"23,900"
279위,휠라,컬러블럭킹 아노락(FE2JKF5103XNAY),https://www.musinsa.com/app/goods/1769304?loc=goods_rank,2500FE2JKF5103XNAY,남 여,5.3천 회 이상,400개 이상,"6,223"
280위,낫포너드,Tribal Logo Nylon Racing Jacket - White,https://www.musinsa.com/app/goods/3209863?loc=goods_rank,JK044WH,남,1.6천 회 이상,,215
