순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
91위,오호스,2-way 플리츠 스커트 팬츠 / 블랙,https://www.musinsa.com/app/goods/2942927?loc=goods_rank,22MW-PT02-BK,여,3.1천 회 이상,50개 미만,"1,215"
92위,어널러코드,사계절 스트링 트레이닝팬츠 (블랙),https://www.musinsa.com/app/goods/1568032?loc=goods_rank,FSST002,남 여,5.2만 회 이상,1.8만 개 이상,"28,121"
93위,모드나인,Black Inferno - MOD7w,https://www.musinsa.com/app/goods/2952100?loc=goods_rank,Black Inferno - MOD7w,남,1.6만 회 이상,800개 이상,"3,534"
94위,마뗑킴,COTTON CARGO CAPRI PANTS IN BLACK,https://www.musinsa.com/app/goods/3125630?loc=goods_rank,MK2312PT011M0BB,여,1.3천 회 이상,,139
95위,무신사 스탠다드,라운지 스웨트 팬츠 [멜란지 그레이],https://www.musinsa.com/app/goods/1212777?loc=goods_rank,MIPT0006-MG,남,3.4만 회 이상,2.3만 개 이상,"32,875"
96위,브랜디드,1880 PURE CREAM JEANS [WIDE STRAIGHT],https://www.musinsa.com/app/goods/2049103?loc=goods_rank,LOT1880,남,2.6만 회 이상,1.1만 개 이상,"18,921"
97위,키르시,컬렉션 컷 오프 카고 포켓 팬츠 [아이보리],https://www.musinsa.com/app/goods/3173507?loc=goods_rank,KCRSCPT541MIVA,여,1.5천 회 이상,,179
98위,토피,모어 와이드 데님 팬츠 (BLEACH),https://www.musinsa.com/app/goods/1778523?loc=goods_rank,T1S-MWDPT,남,2.7만 회 이상,6.8천 개 이상,"16,978"
99위,메종미네드,UTILITY PATCH CARGO PANTS BLACK,https://www.musinsa.com/app/goods/3046167?loc=goods_rank,FMRSCPA504M,남,3.6천 회 이상,50개 이상,543
100위,네스티팬시클럽,[NF] 플루터 트레이닝 셋업 (CHARCOAL)_F22ZA934XC825,https://www.musinsa.com/app/goods/2758043?loc=goods_rank,F22ZA934XC825-1,여,1만 회 이상,1천 개 이상,"13,007"
101위,인템포무드,레이지보이 벌룬 핏 데님_딥블루,https://www.musinsa.com/app/goods/3054701?loc=goods_rank,5003163860,남,9.1천 회 이상,100개 이상,"1,215"
102위,디미트리블랙,[여름용](VLAD) 워터프루프 와이드 카고 팬츠_블랙,https://www.musinsa.com/app/goods/3037465?loc=goods_rank,VBCSPL07BK,남 여,4.9만 회 이상,1.3천 개 이상,"4,061"
