순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
181위,디어미,스트링 밴딩 포켓 팬츠 [블랙],https://www.musinsa.com/app/goods/1350363?loc=goods_rank,String banding pocket pants [Black],여,2.1만 회 이상,3.1천 개 이상,"10,605"
182위,감마갤러리,[8COLOR] 파라슈트 팬츠,https://www.musinsa.com/app/goods/2723714?loc=goods_rank,G2202PT03GN,남,7.5만 회 이상,5.1천 개 이상,"16,500"
183위,모드나인,Way Out - MOD7s,https://www.musinsa.com/app/goods/2671322?loc=goods_rank,Way Out - MOD7s,남,3.4천 회 이상,500개 이상,"1,127"
184위,위캔더스,DENIM SHORTS (L.DENIM),https://www.musinsa.com/app/goods/3106664?loc=goods_rank,WK23SSPT05LD,남 여,1.3천 회 이상,,212
185위,수아레,린넨 데님 세미 와이드 밴딩 팬츠 - 3 COLOR,https://www.musinsa.com/app/goods/2592084?loc=goods_rank,1782263,남,2.3만 회 이상,2.5천 개 이상,"4,299"
186위,키르시,컬렉션 컷 오프 카고 포켓 팬츠 [아이보리],https://www.musinsa.com/app/goods/3173507?loc=goods_rank,KCRSCPT541MIVA,여,1.5천 회 이상,,179
187위,인템포무드,레이지보이 벌룬 핏 데님_페이디드블루,https://www.musinsa.com/app/goods/3054704?loc=goods_rank,5003163861,남,1.5만 회 이상,200개 이상,"1,708"
188위,엑스톤즈,XP127 셔링 카고 팬츠 (KHAKI),https://www.musinsa.com/app/goods/2789111?loc=goods_rank,XP127,남 여,4.3만 회 이상,2.8천 개 이상,"10,183"
189위,인템포무드,커브드 와이드 데님 팬츠_크림,https://www.musinsa.com/app/goods/2319844?loc=goods_rank,487303,남,3.3만 회 이상,7.1천 개 이상,"17,315"
190위,애드오프,CARGO WIDE FLASH PANTS BLACK,https://www.musinsa.com/app/goods/3067829?loc=goods_rank,FDRSCPA506M,남,1.9천 회 이상,50개 미만,304
191위,디미트리블랙,(올시즌) 투턱 와이드 데님 팬츠_크림,https://www.musinsa.com/app/goods/3033567?loc=goods_rank,ABCSPL08WH,남 여,1.5만 회 이상,400개 이상,"1,673"
192위,무신사 스탠다드,리얼 와이드 벨티드 슬랙스 [미디엄 그레이],https://www.musinsa.com/app/goods/2116439?loc=goods_rank,MMAPS007-MR,남,9.5천 회 이상,2.6천 개 이상,"6,415"
193위,모드나인,Toms Remains - MOD7w,https://www.musinsa.com/app/goods/3170026?loc=goods_rank,Toms Remains - MOD7w,남,7천 회 이상,50개 미만,243
194위,그라미치,루즈테이퍼드 팬츠 Chino,https://www.musinsa.com/app/goods/732700?loc=goods_rank,G103-OGT,남 여,7.8천 회 이상,1.5천 개 이상,"3,694"
195위,폴로 랄프 로렌,로고 플리스 쇼츠 - 그레이,https://www.musinsa.com/app/goods/2537448?loc=goods_rank,WMPOSHONBQ20030-020,여,300회 이상,50개 미만,"1,060"
