순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
91위,야세,벨로 VELLO 베이지,https://www.musinsa.com/app/goods/2980709?loc=goods_rank,21YWISL022BG,남 여,2.5천 회 이상,50개 미만,479
92위,야세,베를린 스퀘어 슬라이드 레더 블랙,https://www.musinsa.com/app/goods/2503160?loc=goods_rank,22YSUSL009BK,남 여,900회 이상,2.4천 개 이상,"3,237"
93위,드로우핏,[드로우핏X식스핏] X 슬라이드 밴드 샌들,https://www.musinsa.com/app/goods/2552399?loc=goods_rank,6FT2SSXBS,남,700회 이상,1.3천 개 이상,"2,836"
94위,엠엘비,빅볼청키 마스크 LA (Cream),https://www.musinsa.com/app/goods/3097632?loc=goods_rank,3ASDCH133-07CRS,남 여,5.5천 회 이상,50개 이상,"1,019"
95위,캠퍼,Right Nina K201367-001,https://www.musinsa.com/app/goods/3205564?loc=goods_rank,K201367-001,여,,,2
96위,마크모크,Tera Musinsa Edition,https://www.musinsa.com/app/goods/2621831?loc=goods_rank,Tera Black Edition,여,1.1만 회 이상,2.5천 개 이상,"7,340"
97위,아디다스,아딜렛 클로그 - 블랙:화이트 / GZ5886,https://www.musinsa.com/app/goods/2363570?loc=goods_rank,GZ5886,남 여,1.3만 회 이상,2.6천 개 이상,"4,216"
98위,슈하이,케일리 앵클 웨스턴 부츠_B2305(3 Colors),https://www.musinsa.com/app/goods/2879984?loc=goods_rank,B2305,여,,,219
99위,질바이질스튜어트,[2COLOR][핼리] 컬러배색 메리제인 플랫슈즈,https://www.musinsa.com/app/goods/3074834?loc=goods_rank,JLSO3E159,여,1.1만 회 이상,200개 이상,"2,199"
100위,로맨틱무브,다우너 로퍼 R21M041 (BX 블랙),https://www.musinsa.com/app/goods/1815692?loc=goods_rank,1038,남,2.9천 회 이상,800개 이상,"4,546"
101위,라이프워크,스페이스런 뮬,https://www.musinsa.com/app/goods/2614276?loc=goods_rank,LW235SH102,남 여,9.8천 회 이상,1.4천 개 이상,"3,885"
102위,아디다스,알파바운스 슬라이드 - 화이트:블랙 / FX1326,https://www.musinsa.com/app/goods/1339622?loc=goods_rank,FX1326,남 여,3.6만 회 이상,2.4만 개 이상,"24,244"
103위,엠엘비,빅볼청키 LITE SD NY (Cream),https://www.musinsa.com/app/goods/2080397?loc=goods_rank,3ASHC3S1N-50CRS,남 여,1.3천 회 이상,200개 이상,"1,430"
104위,크록스,여성 CLASSIC PLATFORM CLOG W BONE (23SWCL206750),https://www.musinsa.com/app/goods/3036057?loc=goods_rank,23SWCL206750_Z2Y2,여,4.8천 회 이상,200개 이상,714
105위,락피쉬웨더웨어,SCRUNCH FLAT - BLACK,https://www.musinsa.com/app/goods/2359773?loc=goods_rank,RF1SHBC1FL004BK,여,3.1천 회 이상,400개 이상,"2,741"
106위,슈페너,SPACOD 로퍼 구두 브라운,https://www.musinsa.com/app/goods/3084934?loc=goods_rank,SPACODBR,남,,,13
107위,리복,코듀라 비트닉 - 락 블랙 / FY2949,https://www.musinsa.com/app/goods/3215382?loc=goods_rank,RESO3ES1UBK,남 여,1.6천 회 이상,,107
108위,뉴발란스,NBRJDS201B / NB 쿠셔닝 슬라이드 SD1501BK3 (BLACK),https://www.musinsa.com/app/goods/2330196?loc=goods_rank,NBRJDS201B_19,남 여,6.1천 회 이상,2.3천 개 이상,"2,927"
109위,토앤토,플립플랍 ZEROVITY BIO 올리브,https://www.musinsa.com/app/goods/2476720?loc=goods_rank,Z-FF-OLAJ,남 여,900회 이상,900개 이상,792
110위,세컨데일리,Romero 로메로 펌프스힐 블랙,https://www.musinsa.com/app/goods/2551147?loc=goods_rank,SD12104-BLACK,여,400회 이상,,421
111위,킨치,OFFICE - 111(a),https://www.musinsa.com/app/goods/2735953?loc=goods_rank,KNCH111,남,8.6천 회 이상,700개 이상,"1,536"
112위,위더로드,WTRD1102 데미안 4홀 더비슈즈 매트블랙 [240~300mm],https://www.musinsa.com/app/goods/949538?loc=goods_rank,WTRD1102,남,1.1천 회 이상,400개 이상,"2,921"
113위,마이애미프로젝트,MF 3003 리버풀 베이직 페니 로퍼 밴타블랙,https://www.musinsa.com/app/goods/1673514?loc=goods_rank,MF3003,남,1.3천 회 이상,1.2천 개 이상,"2,176"
114위,아디다스,아딜렛 22 - 카본 / GX6949,https://www.musinsa.com/app/goods/2664373?loc=goods_rank,GX6949,남 여,2.4만 회 이상,4.6천 개 이상,"3,168"
115위,아디다스,아딜렛 라이트 - 블랙: 화이트 / FU8298,https://www.musinsa.com/app/goods/1755977?loc=goods_rank,FU8298,남 여,1.1만 회 이상,9.2천 개 이상,"11,224"
116위,아일랜드슬리퍼,PT203 타우페,https://www.musinsa.com/app/goods/2032683?loc=goods_rank,234789_mu,남 여,2.9천 회 이상,500개 이상,"1,068"
117위,슈쉐임,올인원키트 신발클리너 신발관리,https://www.musinsa.com/app/goods/2223604?loc=goods_rank,SHOESHAME,라이프,200회 이상,50개 미만,41
118위,헌터,[WOMEN] 오리지날 숏 레인부츠 - 블랙 WFS1000RMABLK,https://www.musinsa.com/app/goods/2237841?loc=goods_rank,5002330399,여,2.6천 회 이상,100개 이상,"1,151"
119위,헌터,[MEN] 오리지날 톨 레인부츠 - 블랙,https://www.musinsa.com/app/goods/3167205?loc=goods_rank,MFT9000RMA-BLK,남,,,31
120위,크록스,여성 BAYA PLATFORM CLOG BK (23SWCL208186),https://www.musinsa.com/app/goods/3017181?loc=goods_rank,23SWCL208186_Z001,여,5.6천 회 이상,200개 이상,995
121위,아일랜드슬리퍼,PT203 핑크,https://www.musinsa.com/app/goods/2032686?loc=goods_rank,PT203 PINK,남 여,300회 이상,,64
122위,락피쉬웨더웨어,FLATFORM RAIN BOOTS LONG - 4color,https://www.musinsa.com/app/goods/3134621?loc=goods_rank,RF1SHBD1RB012,여,1.1만 회 이상,100개 이상,"1,650"
123위,닥터마틴,8065 메리제인,https://www.musinsa.com/app/goods/2913919?loc=goods_rank,27974076,여,4천 회 이상,100개 이상,870
124위,닥터마틴,1461 3홀 E.H 스웨이드 페일 올리브 / 27458358,https://www.musinsa.com/app/goods/3021249?loc=goods_rank,27458358,남 여,900회 이상,,134
125위,닥터마틴,1461 3홀 빈티지브라운 11838201,https://www.musinsa.com/app/goods/706935?loc=goods_rank,11838201,남 여,4.2천 회 이상,500개 이상,"4,208"
126위,아일랜드슬리퍼,PT203 터쿼이즈,https://www.musinsa.com/app/goods/3069036?loc=goods_rank,PT203 TURQUOISE,남 여,,,4
127위,버켄스탁,아리조나 에바 블랙 129421,https://www.musinsa.com/app/goods/324275?loc=goods_rank,아리조나 에바 블랙 129423,남 여,5.4천 회 이상,1만 개 이상,"24,384"
128위,마이애미프로젝트,1991 글랜데일 소가죽 베이직 홀스빗 로퍼 밴타블랙,https://www.musinsa.com/app/goods/1140457?loc=goods_rank,1991VB,남,3.5천 회 이상,1.1천 개 이상,"4,081"
129위,키치오브제,에어스니커즈 씨에라 화이트,https://www.musinsa.com/app/goods/1711110?loc=goods_rank,씨에라 화이트,남,200회 이상,,20
130위,크록스,공용 CLASSIC AT (23SUCL10001),https://www.musinsa.com/app/goods/3004190?loc=goods_rank,23SUCL10001_Z1FT,남 여,1.5천 회 이상,50개 이상,455
131위,빅토리아 슈즈,오다 메리제인 (104913-NEGRO),https://www.musinsa.com/app/goods/1699941?loc=goods_rank,104913-NEGRO,여,1.5만 회 이상,8.7천 개 이상,"19,052"
132위,클락스,WALLABEE 26155515,https://www.musinsa.com/app/goods/1730340?loc=goods_rank,CLA-26155515,남 여,1.8만 회 이상,4.4천 개 이상,"14,476"
133위,디스커버리 익스페디션,버킷 슬라이드 (B/WHITE),https://www.musinsa.com/app/goods/1735600?loc=goods_rank,DXLP2101N-WHS,남 여,2천 회 이상,600개 이상,"2,399"
134위,락피쉬웨더웨어,벨라 퀼티드 플랫  - BLACK,https://www.musinsa.com/app/goods/2744890?loc=goods_rank,RF1SHBC3FL006BK,여,1천 회 이상,100개 이상,769
135위,닥터마틴,1B60 버지니아 블랙 / 23889001,https://www.musinsa.com/app/goods/2036670?loc=goods_rank,23889001,남 여,2.5천 회 이상,700개 이상,"6,219"
136위,솔트앤초콜릿,레이스업 플랫 워커 롱부츠 412148002 (3.5cm/3color),https://www.musinsa.com/app/goods/2599773?loc=goods_rank,2169532,여,1.3천 회 이상,300개 이상,"2,610"
137위,아디다스,아딜렛 22 - 베이지 / GX6945,https://www.musinsa.com/app/goods/2589483?loc=goods_rank,GX6945,남 여,1.4만 회 이상,5.4천 개 이상,"4,982"
138위,크록스,성인 CROCBAND BK (22SUCL11016),https://www.musinsa.com/app/goods/2319539?loc=goods_rank,22SUCL11016_Z001,남 여,3.2천 회 이상,2.4천 개 이상,"1,598"
139위,캘빈클라인 진,여 블랙 노리치 슬리퍼 YW00585 BDS,https://www.musinsa.com/app/goods/3024523?loc=goods_rank,YW00585 BDS,여,1.6천 회 이상,100개 이상,553
140위,아디다스,아디케인 슬라이드 - 블랙 / HQ9915,https://www.musinsa.com/app/goods/3008037?loc=goods_rank,HQ9915,남 여,4.3천 회 이상,50개 이상,260
141위,엄브로,TOPI (토피) 오프화이트(UO123ESA30),https://www.musinsa.com/app/goods/3132539?loc=goods_rank,UO123ESA30_OWHT,남 여,4.8천 회 이상,200개 이상,372
142위,무신사 스탠다드,플레인 첼시 부츠 [블랙],https://www.musinsa.com/app/goods/2101922?loc=goods_rank,MMAFB006-BK,남 여,5.4천 회 이상,3.3천 개 이상,"8,956"
143위,크록스,공용 CLASSIC ALL TERRAIN CLOG LGR (23SUCL206340),https://www.musinsa.com/app/goods/3004178?loc=goods_rank,23SUCL206340_Z007,남 여,2.3천 회 이상,50개 이상,448
144위,노스페이스,NS98P04A 우븐슬라이드,https://www.musinsa.com/app/goods/3223317?loc=goods_rank,NS98P04A,남 여,,,3
145위,어글리즈,올리 플립플랍 쪼리 2PACK,https://www.musinsa.com/app/goods/2570798?loc=goods_rank,UG2022T6,여,2.4천 회 이상,200개 이상,461
146위,마크모크,Titi 2Color 스퀘어토 스트랩 로퍼 2Cm,https://www.musinsa.com/app/goods/3091499?loc=goods_rank,Titi,여,5.5천 회 이상,100개 이상,"1,003"
147위,팀버랜드,남성 ATWELLS AVE 부츠 블랙_TB0A43UN0151,https://www.musinsa.com/app/goods/2758893?loc=goods_rank,TB0A43UN0151,남,1.2천 회 이상,50개 미만,224
148위,슈펜,[깡스타일리스트X슈펜] 클래식 레더더비 블랙 BYSC79A02,https://www.musinsa.com/app/goods/2071613?loc=goods_rank,591747,남,5.9천 회 이상,1.3천 개 이상,"4,650"
149위,츄바스코,S130293 AZTEC BLACK/BLACK,https://www.musinsa.com/app/goods/1923322?loc=goods_rank,1159900,남 여,2천 회 이상,1.5천 개 이상,"4,728"
150위,슈펜,[최겨울x슈펜]이태리 비브람 시리즈 더비슈즈 BYSC19W04,https://www.musinsa.com/app/goods/1167367?loc=goods_rank,744582,남,5.3천 회 이상,1.3천 개 이상,"11,546"
151위,무신사 스탠다드,세미 드레스 페니 로퍼 [블랙],https://www.musinsa.com/app/goods/2355318?loc=goods_rank,MMBFL101-BK,남 여,9.1천 회 이상,2.7천 개 이상,"4,258"
152위,식스핏,[제멋X식스핏] 청키 더비슈즈 (키높이 버전),https://www.musinsa.com/app/goods/2752849?loc=goods_rank,[제멋X식스핏] 청키 더비슈즈 (키높이 버전),남,1.8천 회 이상,500개 이상,"1,242"
153위,크록스,공용 CLASSIC HIKER CLOG BK (23SUCL206772),https://www.musinsa.com/app/goods/3102973?loc=goods_rank,23SUCL206772_Z060,남 여,4.9천 회 이상,100개 이상,384
154위,락피쉬웨더웨어,파스텔 첼시 레인부츠 - 3color,https://www.musinsa.com/app/goods/2725559?loc=goods_rank,RF1SHBB1RB032_파스텔,여,3.3천 회 이상,100개 이상,701
155위,위더로드,WTRD2102 카터 테슬로퍼 블랙 [240~300mm],https://www.musinsa.com/app/goods/949540?loc=goods_rank,WTRD2102,남,400회 이상,50개 이상,608
156위,프리플라,A8133 flat _ 4color,https://www.musinsa.com/app/goods/2742200?loc=goods_rank,A8133 flat,여,1.4천 회 이상,50개 미만,466
157위,프리플라,19B503 black loafer,https://www.musinsa.com/app/goods/1147638?loc=goods_rank,19B503,여,6.7천 회 이상,600개 이상,"16,033"
158위,키르시,키르시 젤-클라우드 슬라이드 [아이보리],https://www.musinsa.com/app/goods/2597852?loc=goods_rank,KKRRSSL702MIVA,여,2.1천 회 이상,500개 이상,"1,668"
159위,라코스테,남성 크로코 1.0 슬라이드 [화이트],https://www.musinsa.com/app/goods/3161832?loc=goods_rank,RZ3002M53G082,남,300회 이상,,20
160위,로맨틱무브,플리츠 더비 R22M024 (체스넛스웨이드),https://www.musinsa.com/app/goods/2740396?loc=goods_rank,1951,남,1.4천 회 이상,100개 이상,"1,132"
161위,엄브로,TOPI FISHERMAN (토피 피셔맨) 베이지(UO223ESA40),https://www.musinsa.com/app/goods/3132471?loc=goods_rank,UO223ESA40_BEI0,남 여,4.4천 회 이상,100개 이상,342
162위,알도,SEGAL/001Black,https://www.musinsa.com/app/goods/2864964?loc=goods_rank,5000542241,남,1.8천 회 이상,100개 이상,99
163위,락피쉬웨더웨어,스크런치 플랫 (사틴) - WHITE,https://www.musinsa.com/app/goods/2690519?loc=goods_rank,RF1SHBC3FL001WH,여,1만 회 이상,600개 이상,"2,365"
164위,마크모크,Solid 3Color 스퀘어 포인트 페니로퍼 2.5Cm,https://www.musinsa.com/app/goods/3087212?loc=goods_rank,Solid,여,5.6천 회 이상,50개 이상,"1,261"
165위,세스띠,캐쥬얼 메리제인 하이탑 로퍼 (BLACK),https://www.musinsa.com/app/goods/2377413?loc=goods_rank,XZAOA6206_BK,여,700회 이상,50개 이상,"1,788"
166위,크록스,공용 CROCBAND STM (23SUCL11016),https://www.musinsa.com/app/goods/3049332?loc=goods_rank,23SUCL11016_Z1AS,남 여,3.5천 회 이상,200개 이상,388
167위,피렌체 아뜨리에,SECOND.A 뉴 벌룬 더비슈즈 2NDF3200GB [BLACK],https://www.musinsa.com/app/goods/3201430?loc=goods_rank,2NDF3200GB,남,,,16
168위,프리플라,clo8502 flat _ 3color,https://www.musinsa.com/app/goods/2085590?loc=goods_rank,clo8502 flat,여,6.6천 회 이상,700개 이상,"11,103"
169위,락피쉬웨더웨어,HAYDEN CLOG - 7color,https://www.musinsa.com/app/goods/3124959?loc=goods_rank,RF1SHBDEV001,여,1.1만 회 이상,300개 이상,"1,261"
170위,비에스큐티바이클래시,375 웰던 더비 구두 루시블랙,https://www.musinsa.com/app/goods/607298?loc=goods_rank,375LB,남 여,9.8천 회 이상,8.8천 개 이상,"26,605"
171위,닥터마틴,테리 블랙 브란도 샌들 23521001,https://www.musinsa.com/app/goods/1334440?loc=goods_rank,23521001,남 여,9.4천 회 이상,3.6천 개 이상,"13,508"
172위,사뿐,하이드 레이스업 워커 (6cm),https://www.musinsa.com/app/goods/2690943?loc=goods_rank,5006318321,여,1.6천 회 이상,200개 이상,"1,568"
173위,위더로드,WTRD2111 마크 미니멀로퍼 블랙 [240~290MM],https://www.musinsa.com/app/goods/2098584?loc=goods_rank,WTRD2111,남,1천 회 이상,200개 이상,"1,015"
174위,테바,허리케인 XLT2 (BLK) STVF2319235-BLK,https://www.musinsa.com/app/goods/3179023?loc=goods_rank,STVF2319235-BLK,여,,,22
175위,토앤토,플립플랍 ZEROVITY BIO 블랙,https://www.musinsa.com/app/goods/1439527?loc=goods_rank,Z-FF-BLAJ,남 여,1만 회 이상,3.3만 개 이상,"33,694"
176위,커버낫,C 로고 슬라이드 블랙,https://www.musinsa.com/app/goods/1754215?loc=goods_rank,CO0000SE01BK,남 여,4.4천 회 이상,3천 개 이상,"3,879"
177위,마크모크,Rise 3Color 플랫폼 키높이 슬링백 3.5Cm,https://www.musinsa.com/app/goods/3086545?loc=goods_rank,Rise,여,2.1천 회 이상,50개 미만,401
178위,커버낫,C 로고 슬라이드 그린,https://www.musinsa.com/app/goods/1754219?loc=goods_rank,CO0000SE01GN,남 여,1.4만 회 이상,5.5천 개 이상,"14,555"
179위,마크모크,Goofy 2Color 청키 워커 4.5Cm,https://www.musinsa.com/app/goods/1645143?loc=goods_rank,Goofy,여,5.9천 회 이상,1.9천 개 이상,"19,219"
180위,커버낫,튜보 조리 블랙,https://www.musinsa.com/app/goods/1876448?loc=goods_rank,CO2301SE03BK,남 여,800회 이상,1.3천 개 이상,"4,159"
