순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
361위,소버먼트,980g pigment CUT hoody zip up-chacoal-,https://www.musinsa.com/app/goods/2105470?loc=goods_rank,pg-hoody-z-chacoal,남,2만 회 이상,2.8천 개 이상,"7,387"
362위,에스피오나지,Mountain Wind Parka Black,https://www.musinsa.com/app/goods/3034346?loc=goods_rank,20230119-12,남 여,4.7만 회 이상,1.5천 개 이상,"5,628"
363위,유니폼브릿지,22ss raf mk3 jacket black,https://www.musinsa.com/app/goods/2368085?loc=goods_rank,UB-2989,남,2.9천 회 이상,50개 미만,428
364위,제로,Vertical Clean Denim Trucker Jacket [Black],https://www.musinsa.com/app/goods/2680393?loc=goods_rank,2022F16,남 여,1.1천 회 이상,100개 이상,556
365위,라퍼지스토어,윈드셀 포켓 블루종 자켓_Cream,https://www.musinsa.com/app/goods/3075955?loc=goods_rank,1111,남 여,1.4만 회 이상,200개 이상,961
366위,노스페이스,NJ1DN69A 버몬트 다운 후디,https://www.musinsa.com/app/goods/2904082?loc=goods_rank,NJ1DN69A,남,2.2천 회 이상,100개 이상,613
367위,톤즈,세미 오버 싱글 블레이져(BK),https://www.musinsa.com/app/goods/2704778?loc=goods_rank,22OUBLL0501,남 여,2.2천 회 이상,50개 이상,248
368위,스파오,자수 바시티 점퍼_SPJAD23G91,https://www.musinsa.com/app/goods/3061926?loc=goods_rank,SPJAD23G91,여,3.4천 회 이상,50개 미만,583
369위,노스페이스,NJ3BN81J 화이트라벨 여성 유틸리티 롱 셔켓,https://www.musinsa.com/app/goods/2794723?loc=goods_rank,NJ3BN81J,여,1천 회 이상,50개 미만,138
370위,디스이즈네버댓,GORE-TEX Paclite Pullover Black,https://www.musinsa.com/app/goods/2852234?loc=goods_rank,TN223GOWLS01BK,남 여,1.5만 회 이상,100개 이상,"2,170"
371위,아웃스탠딩,OUT PCU HOOD JACKET_BLACK,https://www.musinsa.com/app/goods/3059932?loc=goods_rank,OSTD588,남,4.8천 회 이상,50개 이상,291
